"ASV","treatment","Est","pval","pval.holm","SE","t.val","sampletype","week"
"ASV418","la",-4.56721556640217,0.112766489830171,0.922831649529483,2.15787040706979,-2.30454464884635,"feces","Week 2"
"ASV418","lg",-5.19328667982387,0.0714465730257761,0.898942439352373,2.15787040706979,-2.6014685289825,"feces","Week 2"
"ASV42","cdiff",-0.113683205040912,0.38997068233552,0.992408624393327,1.59449465713347,-0.0656446208735679,"feces","Week 2"
"ASV42","Intercept",-3.11934143140776,0.104553941118601,0.794022496477578,1.1274779846248,-2.84050256620815,"feces","Week 2"
"ASV42","la",10.0547399408455,0.000424392299847163,0.0798017775139875,1.59449465713347,6.85317302144347,"feces","Week 2"
"ASV42","lg",10.2622273119853,0.000354357840366282,0.0665591628768253,1.59449465713347,6.99340148120107,"feces","Week 2"
"ASV43","cdiff",-0.351799239484267,0.443610683231928,0.992240156979703,1.7577777606126,-0.198344783979572,"feces","Week 2"
"ASV43","Intercept",-2.57742002601425,0.144592248726221,0.941155628557346,1.24293657434807,-2.16771202923245,"feces","Week 2"
"ASV43","la",-0.438173526107978,0.451428561530295,0.991194616836426,1.7577777606126,-0.248520917512255,"feces","Week 2"
"ASV43","lg",12.272738610307,0.000334318637810325,0.0519994111775077,1.7577777606126,7.6841477686414,"feces","Week 2"
"ASV433","cdiff",-0.304475172392869,0.539203854759858,1,2.34981416429753,-0.12343330158339,"feces","Week 2"
"ASV433","Intercept",-2.4742365408306,0.267737801051705,0.982499401448251,1.66156953010299,-1.53329963783281,"feces","Week 2"
"ASV433","la",-0.536629017929628,0.530981276463915,1,2.34981416429753,-0.222445274285299,"feces","Week 2"
"ASV433","lg",0.482012797549093,0.531955699352095,1,2.34981416429753,0.264708172012235,"feces","Week 2"
"ASV439","cdiff",-2.76366111017314,0.321411726688946,0.991723318134862,2.31273775247218,-1.25752059123505,"feces","Week 2"
"ASV439","Intercept",-0.550096910785467,0.648339972340683,1,1.63535254787922,-0.27949123626693,"feces","Week 2"
"ASV439","la",-2.53191509195094,0.365988886043758,0.990831676961812,2.31273775247218,-1.18790195368883,"feces","Week 2"
"ASV439","lg",-3.02673413979947,0.291890066515357,0.99595470884186,2.31273775247218,-1.39414012328605,"feces","Week 2"
"ASV44","cdiff",-0.436349155182134,0.381049902404705,1,0.462676138086463,-0.949713987565697,"feces","Week 2"
"ASV44","Intercept",7.86821427118436,2.45731785561978e-11,7.66138901473132e-09,0.327161434734141,24.2227751310839,"feces","Week 2"
"ASV44","la",-0.848981698658142,0.103209033592145,1,0.462676138086463,-1.84457500345549,"feces","Week 2"
"ASV44","lg",-1.63975062292238,0.00504147670067004,0.779243792425511,0.462676138086463,-3.56725235532608,"feces","Week 2"
"ASV440","cdiff",-0.0607893504442498,0.544582822579858,1,2.44981507311675,-0.0255881696789535,"feces","Week 2"
